HHA REPORT COUNTS  BY STATUS BY YEAR FOR THE QUARTER ENDING 2012-06-30
Year,          Amended,       As Submitted,  Reopened,      Settled,       Settled w/Audit,Sum
1994,          0,             161,           817,           2964,          671,           4613
1995,          0,             226,           804,           4730,          661,           6421
1996,          0,             180,           993,           4808,          851,           6832
1997,          0,             334,           1172,          5556,          401,           7463
1998,          0,             340,           654,           4508,          234,           5736
1999,          0,             442,           847,           3410,          193,           4892
2000,          0,             476,           450,           3180,          215,           4321
2001,          0,             265,           44,            4154,          3,             4466
2002,          0,             179,           76,            4375,          7,             4637
2003,          0,             21,            397,           4671,          7,             5096
2004,          0,             11,            25,            5629,          2,             5667
2005,          0,             49,            18,            6263,          1,             6331
2006,          1,             20,            14,            7069,          1,             7105
2007,          0,             4,             5,             7601,          1,             7611
2008,          0,             14,            7,             8126,          1,             8148
2009,          0,             19,            7,             9144,          6,             9176
2010,          0,             153,           0,             9781,          5,             9939
2011,          1,             4358,          0,             2556,          0,             6915
2012,          0,             11,            0,             10,            0,             21
Sum,           2,             7263,          6330,          98535,         3260,          115390
