PROVIDER_NUMBER,FYB,FYE,STATUS,Hha_Name,Street_Addr,City,State,Zip_Code
059202,01-JAN-11,31-DEC-11,As Submitted,AFFINITY HOME HEALTH  INC.,5767 UPLANDER WAY  STE. 210,CULVER CITY,CA,90230
237440,01-JAN-11,31-DEC-11,As Submitted,BEACON HOME CARE  LLC,415 QUAY STREET,PORT HURON,MI,48060
237555,01-JAN-11,31-DEC-11,As Submitted,CARENET HOME CARE SERVICES INC,23155 NORTHWESTERN HWY STE 201,SOUTHFIELD,MI,48075
237675,01-JAN-11,31-DEC-11,As Submitted,EVERGREEN HEALTH SERVICES INC,6510 TOWNPARK CENTER DRIVE - STE B,CLARKSTON,MI,48346
239105,01-JAN-11,31-DEC-11,As Submitted,HEALING HAND HOME HEALTH CARE,28511 ORCHARD LAKE ROAD STE B,FARMINGTON HILLS,MI,48334
397454,01-JAN-11,07-OCT-11,As Submitted,HEARTLAND HOME CARE  LLC D.B.A. HEAR,38 NORTH MAIN STREET,PITTSTON,PA,18640-1916
057040,01-JAN-11,31-DEC-11,Settled,LIVINGSTON MEMORIAL VNA,1996 EASTMAN AVE.  STE 101,VENTURA,CA,93003
058058,01-JAN-11,31-DEC-11,Settled,ACCXELL HOME HEALTH AGENCY  INC.,370 AMAPOLA AVE.; SUITE 203,TORRANCE,CA,90501
059126,01-JAN-11,31-DEC-11,Settled,BLUE SKY HOME HEALTH CARE  INC.,18531 ROSCOE BLVD #208,NORTHRIDGE,CA,91324
059212,01-JAN-11,31-DEC-11,Settled,D & B HEALTH CARE PROFESSIONALS BURB,2206 W MAGNOLIA BLVD,BURBANK,CA,91506-1734
059275,01-JAN-11,31-DEC-11,Settled,WEST COAST HOME HEALTH CARE INC.,750 EAST GREEN STREET,PASADENA,CA,91101
037258,01-JAN-11,31-DEC-11,As Submitted,ZION HOME HEALTH CARE AGENCY,29 WEST THOMAS RD. SUITE 205,PHOENIX,AZ,85013
057008,01-JAN-11,31-DEC-11,As Submitted,VNA & HOSPICE OF SOUTHERN CALIFORNIA,150 WEST FIRST ST.  STE 270,CLAREMONT,CA,91711
058259,01-JAN-11,31-DEC-11,As Submitted,HOLY ANGEL HOME HEALTH CARE INC.,3350 WILSHIRE BLVD STE # 540,LOS ANGELES,CA,90010-1825
058447,01-JAN-11,31-DEC-11,As Submitted,HERITAGE HOME HEALTH  INC.,18645 SHERMAN WAY  STE. 208,RESEDA,CA,91335
059017,01-JAN-11,31-DEC-11,As Submitted,HEAVEN HOME HEALTH CARE  INC.,11326 MAGNOLIA BLVD.  STE. 1,NORTH HOLLYWOOD,CA,91601
059072,01-JAN-11,31-DEC-11,As Submitted,CARMEL HOME HEALTH SVCS.,5266 HOLLISTER AVE.  SUITE 108,SANTA BARBARA,CA,93111
237331,01-JAN-11,31-DEC-11,As Submitted,HEARTLAND HOME CARE  LLC DBA HEARTLA,3230 EAGLE PARK DRIVE NE SUITE 200,GRAND RAPIDS,MI,49525-7047
337032,01-JAN-11,31-DEC-11,As Submitted,LIVINGSTON COUNTY HEALTH DEPARTMENT,2 MURRAY HILL DRIVE,MT. MORRIS,NY,14510
557482,01-JAN-11,31-DEC-11,As Submitted,PROGRESSIVE HOME CARE,11879 KEMPER RD  SUITE 15,AUBURN,CA,95603
077191,01-JAN-11,31-DEC-11,As Submitted,NURSING SERVICES  INC.,21 HIGH STREET,EAST HARTFORD,CT,06118
