HHA RECORD COUNTS BY YEAR FOR THE QUARTER ENDING 2012-06-30
FY,       RPT count,  ALPHA count,    NMRC count,     ROLLUP count
1994 ,         4613,       170283,      1153308,       329314
1995 ,         6421,       234530,      1612556,       452498
1996 ,         6832,       248996,      1761033,       481596
1997 ,         7463,       276691,      2000480,       534116
1998 ,         5736,       255069,      1993593,       457607
1999 ,         4892,       220955,      1640207,       381847
2000 ,         4321,       225043,      1753333,       337489
2001 ,         4466,       223702,      1267327,       302956
2002 ,         4637,       231848,      1317731,       314633
2003 ,         5096,       274006,      1461086,       344913
2004 ,         5667,       311887,      1604349,       377389
2005 ,         6331,       333265,      1817698,       409664
2006 ,         7105,       393197,      2131015,       447662
2007 ,         7611,       440971,      2047168,       475440
2008 ,         8148,       463785,      2117592,       511686
2009 ,         9176,       513039,      2309927,       552693
2010 ,         9939,       541016,      2436952,       581240
2011 ,         6915,       416212,      1877159,       450096
2012 ,           21,          896,         3106,          738
TOTAL,       115390,      5775391,     32305620,      7743577
